year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,550,20,3.60%,22,4.00%,548,19,3.50%,21,3.80%,Y
2017-2018,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,858,132,15.40%,165,19.20%,831,131,15.80%,164,19.70%,Y
2017-2018,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,578,80,13.80%,114,19.70%,578,80,13.80%,114,19.70%,Y
2017-2018,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,948,74,7.80%,83,8.80%,934,74,7.90%,83,8.90%,Y
2017-2018,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,833,53,6.40%,56,6.70%,822,51,6.20%,54,6.60%,Y
2017-2018,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,1013,40,3.90%,48,4.70%,1013,40,3.90%,48,4.70%,Y
2017-2018,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,13,19.40%,13,19.40%,43,8,18.60%,8,18.60%,Y
2017-2018,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,N/A,Yes,684,Directly funded,Y,9,12,593,254,42.80%,364,61.40%,585,252,43.10%,359,61.40%,Y
2017-2018,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,746,314,42.10%,349,46.80%,746,314,42.10%,349,46.80%,Y
2017-2018,1,61192,113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,N/A,Yes,836,Directly funded,Y,7,12,708,359,50.70%,458,64.70%,697,355,50.90%,450,64.60%,Y
2017-2018,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1067,Directly funded,Y,1,8,249,46,18.50%,60,24.10%,249,46,18.50%,60,24.10%,Y
2017-2018,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1514,Directly funded,Y,K,8,557,285,51.20%,341,61.20%,539,277,51.40%,333,61.80%,Y
2017-2018,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1543,Directly funded,Y,9,12,198,106,53.50%,116,58.60%,192,104,54.20%,114,59.40%,Y
2017-2018,1,61192,131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,25,19,76.00%,21,84.00%,25,19,76.00%,21,84.00%,Y
2017-2018,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,187,134,71.70%,147,78.60%,140,100,71.40%,112,80.00%,Y
2017-2018,1,61192,133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1607,980,61.00%,1141,71.00%,1564,952,60.90%,1109,70.90%,Y
2017-2018,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1978,1080,54.60%,1294,65.40%,1930,1053,54.60%,1263,65.40%,Y
2017-2018,1,61192,138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1446,977,67.60%,1088,75.20%,1360,910,66.90%,1016,74.70%,Y
2017-2018,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,350,231,66.00%,259,74.00%,350,231,66.00%,259,74.00%,Y
2017-2018,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,914,530,58.00%,602,65.90%,902,526,58.30%,598,66.30%,Y
2017-2018,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,759,496,65.30%,543,71.50%,746,486,65.10%,533,71.40%,Y
2017-2018,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,581,295,50.80%,352,60.60%,581,295,50.80%,352,60.60%,Y
2017-2018,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,423,257,60.80%,301,71.20%,423,257,60.80%,301,71.20%,Y
2017-2018,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,567,352,62.10%,404,71.30%,561,351,62.60%,403,71.80%,Y
2017-2018,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,537,363,67.60%,386,71.90%,522,352,67.40%,374,71.60%,Y
2017-2018,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,608,372,61.20%,410,67.40%,608,372,61.20%,410,67.40%,Y
2017-2018,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,663,427,64.40%,463,69.80%,649,418,64.40%,454,70.00%,Y
2017-2018,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,421,203,48.20%,236,56.10%,421,203,48.20%,236,56.10%,Y
2017-2018,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,557,344,61.80%,399,71.60%,557,344,61.80%,399,71.60%,Y
2017-2018,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,552,384,69.60%,423,76.60%,542,379,69.90%,416,76.80%,Y
2017-2018,1,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,536,326,60.80%,377,70.30%,523,320,61.20%,371,70.90%,Y
2017-2018,1,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,768,477,62.10%,519,67.60%,756,472,62.40%,514,68.00%,Y
2017-2018,1,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,681,344,50.50%,406,59.60%,665,337,50.70%,398,59.80%,Y
2017-2018,1,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,500,308,61.60%,343,68.60%,500,308,61.60%,343,68.60%,Y
2017-2018,1,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,613,369,60.20%,424,69.20%,613,369,60.20%,424,69.20%,Y
2017-2018,1,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,548,377,68.80%,427,77.90%,548,377,68.80%,427,77.90%,Y
2017-2018,1,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,571,340,59.50%,394,69.00%,571,340,59.50%,394,69.00%,Y
2017-2018,1,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,509,358,70.30%,404,79.40%,509,358,70.30%,404,79.40%,Y
2017-2018,1,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,540,311,57.60%,348,64.40%,540,311,57.60%,348,64.40%,Y
2017-2018,1,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,732,448,61.20%,511,69.80%,732,448,61.20%,511,69.80%,Y
2017-2018,1,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,587,286,48.70%,331,56.40%,575,282,49.00%,327,56.90%,Y
2017-2018,1,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,716,528,73.70%,568,79.30%,716,528,73.70%,568,79.30%,Y
2017-2018,1,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,140,88,62.90%,101,72.10%,140,88,62.90%,101,72.10%,Y
2017-2018,1,61200,1,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,2,10.50%,2,10.50%,15,1,6.70%,1,6.70%,Y
2017-2018,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,133,31,23.30%,31,23.30%,119,28,23.50%,28,23.50%,Y
2017-2018,1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,115,61,53.00%,66,57.40%,100,52,52.00%,56,56.00%,Y
2017-2018,1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2261,404,17.90%,435,19.20%,2182,382,17.50%,413,18.90%,Y
2017-2018,1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1936,407,21.00%,450,23.20%,1871,384,20.50%,426,22.80%,Y
2017-2018,1,61200,135376,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,321,37,11.50%,37,11.50%,305,36,11.80%,36,11.80%,Y
2017-2018,1,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,888,546,61.50%,573,64.50%,874,540,61.80%,567,64.90%,Y
2017-2018,1,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,648,163,25.20%,191,29.50%,648,163,25.20%,191,29.50%,Y
2017-2018,1,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,738,54,7.30%,60,8.10%,722,52,7.20%,58,8.00%,Y
2017-2018,1,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,552,209,37.90%,226,40.90%,538,206,38.30%,223,41.40%,Y
2017-2018,1,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,799,149,18.60%,185,23.20%,786,149,19.00%,184,23.40%,Y
2017-2018,1,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,416,307,73.80%,322,77.40%,400,294,73.50%,309,77.30%,Y
2017-2018,1,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,975,95,9.70%,107,11.00%,975,95,9.70%,107,11.00%,Y
2017-2018,1,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,664,131,19.70%,152,22.90%,650,126,19.40%,147,22.60%,Y
2017-2018,1,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,717,125,17.40%,147,20.50%,717,125,17.40%,147,20.50%,Y
2017-2018,1,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,124,20.60%,136,22.60%,590,123,20.80%,134,22.70%,Y
2017-2018,1,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,776,54,7.00%,58,7.50%,764,54,7.10%,58,7.60%,Y
2017-2018,1,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,610,130,21.30%,147,24.10%,593,129,21.80%,146,24.60%,Y
2017-2018,1,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,595,106,17.80%,116,19.50%,579,104,18.00%,114,19.70%,Y
2017-2018,1,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,20,16,80.00%,16,80.00%,20,16,80.00%,16,80.00%,Y
2017-2018,1,61234,1,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,1,14.30%,1,14.30%,6,1,16.70%,1,16.70%,Y
2017-2018,1,61234,130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1789,673,37.60%,802,44.80%,1742,650,37.30%,777,44.60%,Y
2017-2018,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,55,30,54.50%,31,56.40%,53,30,56.60%,31,58.50%,Y
2017-2018,1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,62,39,62.90%,40,64.50%,48,33,68.80%,34,70.80%,Y
2017-2018,1,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,413,276,66.80%,312,75.50%,385,264,68.60%,299,77.70%,Y
2017-2018,1,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,295,169,57.30%,191,64.70%,294,169,57.50%,191,65.00%,Y
2017-2018,1,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,360,161,44.70%,192,53.30%,359,161,44.80%,192,53.50%,Y
2017-2018,1,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,412,245,59.50%,276,67.00%,412,245,59.50%,276,67.00%,Y
2017-2018,1,61234,6001499,Alameda,Newark Unified,Birch Grove Primary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,408,122,29.90%,141,34.60%,395,121,30.60%,140,35.40%,Y
2017-2018,1,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,390,100,25.60%,113,29.00%,388,100,25.80%,113,29.10%,Y
2017-2018,1,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,388,177,45.60%,207,53.40%,370,169,45.70%,199,53.80%,Y
2017-2018,1,61234,6001531,Alameda,Newark Unified,Birch Grove Intermediate,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,458,169,36.90%,205,44.80%,458,169,36.90%,205,44.80%,Y
2017-2018,1,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,876,385,43.90%,483,55.10%,876,385,43.90%,483,55.10%,Y
2017-2018,1,61242,1,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,2,11.10%,2,11.10%,13,1,7.70%,1,7.70%,Y
2017-2018,1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,154,69,44.80%,79,51.30%,125,55,44.00%,62,49.60%,Y
2017-2018,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,11,6,54.50%,7,63.60%,7,5,71.40%,5,71.40%,Y
2017-2018,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,118,56,47.50%,59,50.00%,103,51,49.50%,54,52.40%,Y
2017-2018,1,61242,134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3735,1360,36.40%,1734,46.40%,3628,1308,36.10%,1673,46.10%,Y
2017-2018,1,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,767,311,40.50%,395,51.50%,752,305,40.60%,388,51.60%,Y
2017-2018,1,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,540,311,57.60%,387,71.70%,525,305,58.10%,379,72.20%,Y
2017-2018,1,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,673,371,55.10%,443,65.80%,664,367,55.30%,439,66.10%,Y
2017-2018,1,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1378,429,31.10%,557,40.40%,1378,429,31.10%,557,40.40%,Y
2017-2018,1,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1252,645,51.50%,778,62.10%,1252,645,51.50%,778,62.10%,Y
2017-2018,1,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,795,232,29.20%,304,38.20%,777,226,29.10%,296,38.10%,Y
2017-2018,1,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,811,297,36.60%,358,44.10%,794,292,36.80%,353,44.50%,Y
2017-2018,1,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,586,298,50.90%,358,61.10%,568,291,51.20%,349,61.40%,Y
