CDS_CODE,ETHNIC,GENDER,E7,E8,E9,E10,E11,E12,EUS,ETOT,D7,D8,D9,D10,D11,D12,DUS,DTOT,YEAR
1.61119E+12,1,M,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1617
1.61119E+12,1,F,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,11,14,26,39,25,31,0,121,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,F,9,5,32,17,38,28,0,115,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,M,0,1,2,0,2,1,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,F,0,2,2,1,2,0,0,5,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,M,10,5,20,17,25,28,0,90,0,0,0,0,0,0,0,0,1617
1.61119E+12,4,F,4,11,15,17,27,16,0,75,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,8,9,18,15,18,19,0,70,0,0,0,0,0,3,0,3,1617
1.61119E+12,5,F,7,10,23,19,31,22,0,95,0,0,0,1,0,0,0,1,1617
1.61119E+12,6,M,10,8,21,21,31,21,0,94,0,0,0,0,0,0,0,0,1617
1.61119E+12,6,F,13,3,20,13,21,21,0,75,0,0,0,0,0,1,0,1,1617
1.61119E+12,7,M,19,4,28,48,23,20,0,119,0,0,0,0,0,1,0,1,1617
1.61119E+12,7,F,11,7,27,32,25,19,0,103,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,M,6,2,8,12,5,8,0,33,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,3,3,9,11,7,11,0,38,0,0,0,0,0,0,0,0,1617
1.61119E+12,0,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,2,M,0,0,0,0,1,7,0,8,0,0,0,0,0,1,0,1,1617
1.61119E+12,2,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,3,F,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1617
1.61119E+12,4,M,0,0,0,0,0,5,0,5,0,0,0,0,0,1,0,1,1617
1.61119E+12,4,F,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1617
1.61119E+12,5,M,0,0,0,0,6,19,0,25,0,0,0,0,0,5,0,5,1617
1.61119E+12,5,F,0,0,0,0,6,15,0,21,0,0,0,0,0,3,0,3,1617
1.61119E+12,6,M,0,0,0,0,5,11,0,16,0,0,0,0,0,1,0,1,1617
1.61119E+12,6,F,0,0,0,0,1,9,0,10,0,0,0,0,0,1,0,1,1617
1.61119E+12,7,M,0,0,0,0,4,11,0,15,0,0,0,0,0,2,0,2,1617
1.61119E+12,7,F,0,0,0,0,3,7,0,10,0,0,0,0,0,1,0,1,1617
1.61119E+12,9,M,0,0,0,1,0,10,0,11,0,0,0,0,0,0,0,0,1617
1.61119E+12,9,F,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1617
1.6112E+12,1,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,1,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,M,52,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
1.6112E+12,2,F,48,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617
