CDS_CODE,COUNTY,DISTRICT,SCHOOL,HISPANIC,AM_IND,ASIAN,PAC_ISLD,FILIPINO,AFRICAN_AM,WHITE,TWO_MORE_RACES,NOT_REPORTED,TOTAL,YEAR
1.61259E+12,Alameda,Oakland Unified,ARISE High,46,0,1,0,0,0,0,0,0,47,1617
1.61259E+12,Alameda,Oakland Unified,Civicorps Corpsmember Academy,0,0,0,0,0,0,0,0,0,0,1617
1.61259E+12,Alameda,Oakland Unified,Oakland International High,22,0,9,0,0,2,2,0,2,37,1617
1.61259E+12,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,30,0,0,0,0,7,0,0,0,37,1617
1.61259E+12,Alameda,Oakland Unified,Ralph J. Bunche High,0,0,0,0,0,0,0,0,0,0,1617
1.61259E+12,Alameda,Oakland Unified,Gateway to College at Laney College,0,0,0,0,0,0,0,0,0,0,1617
1.61259E+12,Alameda,Oakland Unified,Castlemont High,15,0,0,0,2,20,0,0,0,37,1617
1.61259E+12,Alameda,Oakland Unified,Fremont High,17,0,2,0,0,4,0,0,0,23,1617
1.61259E+12,Alameda,Oakland Unified,LPS Oakland R & D Campus,47,0,0,1,1,5,0,0,0,54,1617
1.61259E+12,Alameda,Oakland Unified,Rudsdale Continuation,1,0,0,0,0,0,0,0,0,1,1617
1.61259E+12,Alameda,Oakland Unified,Street Academy (Alternative),1,0,2,0,0,2,0,0,0,5,1617
1.61259E+12,Alameda,Oakland Unified,LIFE Academy,35,0,2,0,0,2,1,0,0,40,1617
1.61259E+12,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Ac",25,0,7,0,2,4,4,0,0,42,1617
1.61259E+12,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,66,0,0,0,0,1,0,0,0,67,1617
1.61259E+12,Alameda,Oakland Unified,Conservatory of Vocal/Instrumental Arts High,0,0,0,0,0,1,0,0,0,1,1617
1.61259E+12,Alameda,Oakland Unified,Dewey Academy,1,0,1,0,0,0,0,0,0,2,1617
1.61259E+12,Alameda,Oakland Unified,Oakland High,9,0,57,1,5,32,2,1,0,107,1617
1.61259E+12,Alameda,Oakland Unified,Oakland Technical High,47,0,73,0,3,63,84,18,2,290,1617
1.61259E+12,Alameda,Oakland Unified,Skyline High,54,0,53,0,4,27,10,1,4,153,1617
1.61259E+12,Alameda,Oakland Unified,Oakland School for the Arts,14,0,1,0,0,23,56,9,1,104,1617
1.6126E+12,Alameda,Oakland Unified,Madison Park Academy 6-12,23,0,0,0,0,10,0,0,0,33,1617
1.6126E+12,Alameda,Oakland Unified,"Independent Study, Sojourner Truth",0,0,0,0,0,0,1,0,0,1,1617
1.61275E+12,Alameda,Piedmont City Unified,Millennium High Alternative,2,0,1,0,2,0,16,1,0,22,1617
1.61275E+12,Alameda,Piedmont City Unified,Piedmont High,10,0,30,0,3,0,114,30,0,187,1617
1.61291E+12,Alameda,San Leandro Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.61291E+12,Alameda,San Leandro Unified,Lincoln High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61291E+12,Alameda,San Leandro Unified,San Leandro High,73,0,50,1,28,22,19,4,0,197,1617
1.61309E+12,Alameda,San Lorenzo Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.61309E+12,Alameda,San Lorenzo Unified,East Bay Arts High,12,0,0,0,1,2,5,0,0,20,1617
1.61309E+12,Alameda,San Lorenzo Unified,KIPP King Collegiate High,67,1,24,0,5,14,11,0,0,122,1617
1.61309E+12,Alameda,San Lorenzo Unified,Arroyo High,65,2,56,3,36,10,16,1,0,189,1617
1.61309E+12,Alameda,San Lorenzo Unified,Royal Sunset (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.61309E+12,Alameda,San Lorenzo Unified,San Lorenzo High,56,0,12,0,12,14,5,2,0,101,1617
1.75093E+12,Alameda,Dublin Unified,Dublin High,43,0,122,2,34,11,110,42,0,364,1617
1.75093E+12,Alameda,Dublin Unified,Valley High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
1.75101E+12,Alameda,Pleasanton Unified,District Office,0,0,0,0,0,0,1,0,0,1,1617
1.75101E+12,Alameda,Pleasanton Unified,"Nonpublic, Nonsectarian Schools",0,0,0,0,0,0,0,0,0,0,1617
1.75101E+12,Alameda,Pleasanton Unified,Foothill High,17,1,143,0,10,5,153,7,0,336,1617
1.75101E+12,Alameda,Pleasanton Unified,Village High,0,0,0,0,0,0,0,0,0,0,1617
1.75101E+12,Alameda,Pleasanton Unified,Amador Valley High,34,1,167,1,8,3,213,12,0,439,1617
2.10025E+12,Alpine,Alpine County Office of Education,Alpine County Opportunity,0,0,0,0,0,0,0,0,0,0,1617
3.10033E+12,Amador,Amador County Office of Education,Amador County Special Education,0,0,0,0,0,0,0,0,0,0,1617
3.73981E+12,Amador,Amador County Unified,Independence High (Continuation),0,0,0,0,0,0,0,0,0,0,1617
3.73981E+12,Amador,Amador County Unified,North Star Independent Study,0,0,0,0,0,0,0,0,0,0,1617
